銀行代碼,銀行名稱
001,中央信託
002,農民銀行
003,交通銀行
004,台灣銀行
005,土地銀行
006,合庫銀行
007,第一銀行
008,華南銀行
009,彰化銀行
010,華僑銀行
011,上海銀行
012,台北銀行
013,世華銀行
016,高雄銀行
017,中國商銀
021,花旗銀行
024,運通銀行
039,荷蘭銀行
040,中華開發
050,台灣企銀
051,台北商銀
052,新竹商銀
053,台中商銀
054,台南企銀
055,高雄企銀
056,花蓮企銀
057,台東企銀
081,匯豐銀行
083,渣打銀行
101,台北一信
102,華泰銀行
103,誠泰銀行
104,台北五信
106,台北九信
108,陽信銀行
114,基隆一信
115,基隆二信
118,板信銀行
119,淡水一信
120,淡水信合社
124,宜蘭信合社
127,桃園信合社
130,新竹一信
132,新竹三信
133,新竹五信
135,新竹十信
139,竹南信合社
142,豐原信合社
146,台中二信
147,三信銀行
150,聯信銀行
151,第七商銀
158,彰化一信
161,彰化五信
162,彰化六信
163,彰化十信
165,鹿港信合社
172,斗六信合社
176,嘉義一信
178,嘉義三信
179,嘉義四信
183,新營信合社
188,台南三信
191,台南六信
192,台南七信
198,鳳山信合社
202,高新銀行
203,高雄二信
204,高雄三信
215,花蓮一信
216,花蓮二信
219,台東信合社
222,澎湖一信
223,澎湖二信
224,金門信合社
700,郵匯局
801,萬通銀行
803,聯邦銀行
804,中華銀行
805,遠東銀行
806,復華銀行
807,建華銀行
808,玉山銀行
809,萬泰銀行
810,泛亞銀行
811,中興銀行
812,台新銀行
813,富邦銀行
814,大眾銀行
815,日盛銀行
816,安泰銀行
822,中國信託
825,慶豐銀行
827,國泰銀行
zingala,銀角零卡
unionpay,銀聯
momo,全站加碼
o2,momo
jcb,jcb
visaxpostcsr,中華郵政
amex,美國通運
taiwanmobile,台灣大哥大
jkopay,街口支付
happygo,HappyGO
family,全家取貨
711,7-11取貨
myfone,Myfone取貨
OK,OK取貨
